date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20180617,17,6,2018,2,Sunday,24,1,0
20180616,16,6,2018,2,Saturday,24,1,0
20180615,15,6,2018,2,Friday,24,0,0
20180614,14,6,2018,2,Thursday,24,0,0
20180613,13,6,2018,2,Wednesday,24,0,0
20180612,12,6,2018,2,Tuesday,24,0,0
20180611,11,6,2018,2,Monday,24,0,0
20180610,10,6,2018,2,Sunday,23,1,0
20180609,9,6,2018,2,Saturday,23,1,0
20180608,8,6,2018,2,Friday,23,0,0
20180607,7,6,2018,2,Thursday,23,0,0
20180606,6,6,2018,2,Wednesday,23,0,0
20180605,5,6,2018,2,Tuesday,23,0,0
20180604,4,6,2018,2,Monday,23,0,0
20180603,3,6,2018,2,Sunday,22,1,0
20180602,2,6,2018,2,Saturday,22,1,0
20180601,1,6,2018,2,Friday,22,0,0
20180531,31,5,2018,2,Thursday,22,0,0
20180530,30,5,2018,2,Wednesday,22,0,0
20180529,29,5,2018,2,Tuesday,22,0,0
20180528,28,5,2018,2,Monday,22,0,0
20180527,27,5,2018,2,Sunday,21,1,0
20180526,26,5,2018,2,Saturday,21,1,0
20180525,25,5,2018,2,Friday,21,0,0
20180524,24,5,2018,2,Thursday,21,0,0
20180523,23,5,2018,2,Wednesday,21,0,0
20180522,22,5,2018,2,Tuesday,21,0,0
20180521,21,5,2018,2,Monday,21,0,0
20180520,20,5,2018,2,Sunday,20,1,0
20180519,19,5,2018,2,Saturday,20,1,0
20180518,18,5,2018,2,Friday,20,0,0
20180517,17,5,2018,2,Thursday,20,0,0
20180516,16,5,2018,2,Wednesday,20,0,0
20180515,15,5,2018,2,Tuesday,20,0,0
20180514,14,5,2018,2,Monday,20,0,0
20180513,13,5,2018,2,Sunday,19,1,0
20180512,12,5,2018,2,Saturday,19,1,0
20180511,11,5,2018,2,Friday,19,0,0
20180510,10,5,2018,2,Thursday,19,0,0
20180509,9,5,2018,2,Wednesday,19,0,0
20180508,8,5,2018,2,Tuesday,19,0,0
20180507,7,5,2018,2,Monday,19,0,0
20180506,6,5,2018,2,Sunday,18,1,0
20180505,5,5,2018,2,Saturday,18,1,0
20180504,4,5,2018,2,Friday,18,0,0
20180503,3,5,2018,2,Thursday,18,0,0
20180502,2,5,2018,2,Wednesday,18,0,0
20180501,1,5,2018,2,Tuesday,18,0,0
20180430,30,4,2018,2,Monday,18,0,0
20180429,29,4,2018,2,Sunday,17,1,0
20180428,28,4,2018,2,Saturday,17,1,0
20180427,27,4,2018,2,Friday,17,0,0
20180426,26,4,2018,2,Thursday,17,0,0
20180425,25,4,2018,2,Wednesday,17,0,0
